Nuclear_mRNA,Cytoplasmic_mRNA,Cell_volume
0,0,1.31383792
0,0,1.150620044
0,1,1.196863999
1,1,0.683954465
2,4,1.36428994
0,1,1.511566538
1,1,1.116432837
1,3,1.010032494
0,0,0.97123757
1,4,1.580058863
0,0,1.011662054
0,3,1.47770323
1,4,1.079231616
0,0,1.266323215
0,1,0.826019205
1,2,1.354712886
0,1,1.052601874
1,0,0.808004102
0,3,1.102184313
0,0,1.227354857
1,1,1.023046151
0,2,1.083416743
4,29,1.788183421
0,3,1.082873738
0,0,1.195020242
0,3,0.988864189
2,4,0.77610423
0,1,1.051008364
0,1,0.980576125
0,2,1.139357113
0,2,0.913377496
4,15,1.17592841
0,0,0.810915264
1,0,0.789907506
0,0,1.098918653
0,0,0.96739654
2,0,0.95445169
0,0,0.648174035
0,0,0.907008068
0,4,0.60479115
1,9,1.839230497
0,1,0.766358965
0,1,1.029220816
0,3,1.362528537
0,0,1.200649771
0,1,1.02243294
1,0,0.869976149
0,0,0.781878786
0,0,0.800508394
0,0,1.013925398
1,2,1.339852306
0,0,0.992353867
0,0,0.937667827
0,1,0.704115208
0,0,1.598902225
0,0,1.195143449
3,17,1.337848337
0,0,0.89541512
1,5,1.372416527
0,5,1.454404644
0,2,0.960425008
0,2,0.951635658
0,0,0.927277394
0,2,0.981022104
0,1,1.348220009
0,0,1.218897996
0,2,0.83375901
0,1,0.933686896
0,2,0.955367126
0,2,1.453299883
0,3,0.856869447
0,2,0.796267378
0,1,1.078465005
0,0,1.080743784
0,0,1.044954683
0,0,0.950350028
0,1,0.704313117
0,2,0.751461033
2,2,1.232208122
1,3,0.851811335
1,1,0.685163354
0,0,0.943131772
0,0,0.847836014
0,0,0.967889794
0,2,0.960200335
1,1,0.675258249
0,2,0.781662004
0,0,0.923736415
0,2,1.306112691
0,3,0.837523168
0,1,1.038850896
2,5,0.810099878
1,2,0.862374754
0,1,0.696681711
0,0,0.820005873
0,1,0.911625277
1,1,0.869128251
1,0,0.736862774
0,1,0.739195101
0,2,0.945907868
0,0,0.885378568
0,1,0.75679502
0,2,0.783689547
0,1,0.625262006
1,1,0.902706624
0,0,0.944108097
0,1,0.737523825
0,1,0.728326561
0,1,1.035306883
0,2,0.712390096
0,2,0.801204015
0,3,0.630548905
0,1,0.76385083
0,3,0.854328652
1,9,1.084145386
1,3,1.170823854
0,2,0.885378568
0,7,1.314168407
0,1,0.674045125
0,0,0.767503585
0,1,1.260179108
0,0,1.103023413
0,1,0.837488867
1,15,1.475805276
0,1,0.775006608
1,1,0.81401696
0,0,0.993205462
0,0,0.755379059
0,0,0.927723197
3,14,1.676008815
1,2,0.792990684
0,1,1.116983908
0,2,1.096042766
0,1,0.845650856
0,2,1.318484074
0,0,0.95229956
0,1,0.723308314
0,1,0.922953836
0,2,0.925502523
0,1,1.011318343
0,2,0.768116561
0,21,1.23136961
0,1,0.682345327
0,2,0.765362172
0,1,0.938076095
0,0,1.015267654
0,0,0.956974775
0,0,0.610988252
0,0,0.73335329
0,0,1.073985178
1,2,1.367842724
0,0,1.023984266
0,2,1.196640277
0,2,0.810273612
0,0,1.190456815
0,1,1.140989654
0,4,1.129495929
0,2,1.053387094
1,0,1.124538137
0,0,1.187791522
0,1,0.961289776
1,0,0.709087684
0,0,0.945615328
0,2,1.039187315
2,3,0.819639158
1,5,1.167225041
0,3,0.925574358
0,0,0.821492496
0,2,0.728894922
0,0,0.840801662
0,3,1.287099102
0,0,0.93030528
0,2,1.242442301
1,3,1.493924058
0,0,0.761590686
0,1,0.940031531
0,0,0.932503051
0,1,0.921095838
2,2,1.385196765
1,2,0.75073115
0,6,0.87758527
0,1,0.921971021
0,0,1.085838259
0,3,0.731346218
0,0,1.026792104
0,1,0.957574437
1,2,0.988352983
0,0,1.533635388
0,1,0.983625593
0,2,0.74963664
0,1,0.795822169
1,0,0.872747401
0,2,0.937634513
0,0,1.210098032
0,4,1.12037025
0,0,0.716437074
0,0,0.768241358
0,1,1.19234986
0,0,1.186775128
0,5,0.671332628
0,1,0.952885781
0,1,0.887845148
2,16,1.453287452
0,0,0.89434082
0,1,1.131131976
0,0,0.76436432
0,1,0.978182912
0,3,0.697603219
0,0,1.157652902
1,1,0.612017911
0,2,1.246713816
0,1,1.052365133
1,0,0.879469716
0,2,1.085560622
0,1,0.941683444
1,7,1.329587093
1,10,1.452395746
0,0,0.917829476
0,2,0.80192741
3,3,1.535182457
0,0,0.767574298
1,4,0.782661469
0,0,0.770364591
1,1,0.918194625
0,3,0.729192408
4,25,1.373543948
0,2,1.004891392
0,2,0.736199199
0,3,0.742561902
0,3,1.075148212
0,1,0.889863625
