Nuclear_mRNA,Cytoplasmic_mRNA,Cell_volume
0,2,0.960791414
2,6,1.403571164
0,10,0.913020316
1,2,1.36405929
0,1,1.024505606
0,1,1.027359682
0,8,1.603563082
0,1,1.189316334
2,8,0.755550738
0,5,1.013464458
0,0,0.774266605
0,0,0.963960404
1,1,1.035718653
0,1,0.953510837
1,0,0.934885119
1,6,1.388041565
1,1,0.987126438
0,0,0.716061244
1,8,1.131999559
0,2,0.692973199
1,3,0.914314065
1,0,0.839357018
0,12,1.146212909
1,5,1.353944541
0,2,1.210333222
1,3,0.985601105
1,6,1.172994524
0,0,0.876963183
3,2,0.906345784
1,2,0.658684043
0,0,0.917678644
2,1,1.453619529
0,0,0.780941749
0,8,1.06877987
0,0,1.07481335
2,2,0.948521466
1,5,1.224265984
0,0,0.750392272
0,0,0.995361483
0,0,0.934025953
0,1,0.853436163
0,5,0.989427195
0,3,0.964492911
3,2,1.031754055
1,12,1.28684121
3,7,1.364787384
0,0,0.992239843
1,3,1.143225232
0,1,1.395020676
0,1,0.756871725
0,6,1.524332734
0,4,1.408378413
1,1,1.011192819
0,0,0.974949817
1,14,1.177579272
0,1,0.76656005
0,2,1.173239045
2,6,0.982829225
3,2,0.928713456
0,5,0.965628321
0,7,0.849508921
0,1,1.042036332
2,4,0.752131013
1,6,1.629489438
1,2,0.874203627
1,6,1.560897035
1,3,1.149806103
1,6,1.109234295
0,4,1.065246503
0,2,1.312033406
0,1,0.755293153
0,0,1.274672369
2,3,1.114674232
0,15,1.154415872
2,5,1.128739513
0,0,0.917678644
1,5,0.914707378
2,6,1.277648699
0,1,1.265583852
1,14,1.499903219
0,0,1.166433311
1,1,0.740107731
1,0,0.872805
1,3,0.969634967
0,0,0.880675749
1,3,0.909857634
0,1,0.92675936
0,2,1.22314791
0,4,0.812063761
1,6,0.908123473
1,1,0.964454962
1,6,1.57232183
0,1,0.794820044
1,3,1.528426767
0,0,0.788995889
0,0,0.998311132
0,3,1.115344134
0,3,1.020902688
0,1,0.739841155
1,1,1.557380968
1,5,1.148183763
1,1,1.023721378
0,15,0.886091266
0,2,0.801006998
0,1,0.830480341
0,2,0.7577985
1,9,1.714663255
1,6,0.749860863
0,5,0.759246492
0,0,0.788581218
0,4,1.474083927
0,0,0.807753106
0,0,0.843818525
2,11,1.19307238
0,4,0.674150091
0,5,0.888424597
0,4,0.668266234
0,3,0.846932493
1,8,1.111746338
0,0,0.783809802
2,2,0.679125341
1,4,1.007237936
2,7,0.892989888
1,3,0.886392093
1,1,0.861423411
0,7,1.445818943
0,1,0.923763182
0,2,0.947283999
0,0,0.881993562
